Number of pixels;Accuracy;White noises;Circles;Squares;Stars;Triangles
3;0,5465021912027268;0,20556920556920558;0,9592833876221498;0,5700483091787439;0,6666666666666666;0,3273615635179153
4;0,6523291673429638;0,7280917280917281;0,9714983713355049;0,0;0,9259259259259259;0,6408794788273615
5;0,7729264729751664;0,4266994266994267;0,9812703583061889;0,6932367149758454;0,9855072463768116;0,7744299674267101
6;0,7838013309527674;0,7510237510237511;0,998371335504886;0,29871175523349436;0,9919484702093397;0,8819218241042345
7;0,8630092517448467;0,6347256347256347;0,9788273615635179;0,8840579710144928;0,998389694041868;0,8159609120521173
8;0,9019639668884921;0,7518427518427518;0,995928338762215;0,8671497584541062;1,0;0,8933224755700325
9;0,9360493426391819;0,8509418509418509;0,999185667752443;0,8864734299516909;1,0;0,9429967426710097
10;0,9513066060704432;0,8722358722358723;0,995928338762215;0,9194847020933977;0,999194847020934;0,9690553745928339
11;0,9586106151598767;0,895986895986896;0,995928338762215;0,9307568438003221;0,998389694041868;0,9714983713355049
12;0,9662392468755072;0,9074529074529074;0,995114006514658;0,9484702093397746;0,9951690821256038;0,9845276872964169
