Number of pixels;Accuracy;Circles;Squares;Stars;Triangles
3;0.5014285714285714;0.0;0.0;0.87511071744907;0.760752688172043
4;0.73125;0.9274193548387096;0.0;0.9495128432240921;0.8405017921146953
5;0.6357142857142857;0.0;0.22586359610274578;0.9991142604074402;0.9722222222222222
6;0.9378571428571428;0.9982078853046595;0.7201062887511072;0.9946855624446412;0.9847670250896058
7;0.9325;0.992831541218638;0.7263064658990257;0.9911426040744021;0.989247311827957
8;0.9771428571428571;0.9937275985663082;0.9875996457041629;0.9946855624446412;0.978494623655914
9;0.98;0.996415770609319;0.9813994685562445;0.9973427812223207;0.9793906810035843
10;0.9708928571428571;0.9991039426523297;0.9654561558901683;0.9875996457041629;0.9811827956989247
11;0.9742857142857143;0.9865591397849462;0.9778565101860053;0.995571302037201;0.9838709677419355
12;0.9528571428571428;1.0;0.8086802480070859;0.9982285208148804;0.9811827956989247
