Number of pixels;Accuracy;White noises;Circles;Squares;Stars;Triangles
3;0.715;0.9198198198198199;0.9587813620071685;0.0;0.91674047829938;0.7867383512544803
4;0.8442857142857143;0.7135135135135136;0.9722222222222222;0.829052258635961;0.9681133746678476;0.7365591397849462
5;0.9808928571428571;0.972972972972973;0.9901433691756273;0.9601417183348095;0.9991142604074402;0.982078853046595
6;0.9217857142857143;0.8243243243243243;0.992831541218638;0.8449955713020372;0.9867139061116031;0.9596774193548387
7;0.9441071428571428;0.9783783783783784;0.9991039426523297;0.7475642161204605;1.0;0.9973118279569892
8;0.9796428571428571;0.9432432432432433;0.9946236559139785;0.9893711248892826;0.9982285208148804;0.9722222222222222
9;0.9882142857142857;0.9621621621621622;1.0;0.9946855624446412;0.9982285208148804;0.985663082437276
10;0.98125;0.9648648648648649;0.9955197132616488;0.9725420726306466;0.9946855624446412;0.978494623655914
11;0.97875;0.9396396396396396;0.9937275985663082;0.9725420726306466;0.9946855624446412;0.992831541218638
12;0.9891071428571429;0.9756756756756757;0.9991039426523297;0.9911426040744021;0.9982285208148804;0.9811827956989247
